[GENERAL_DATA]
v: 2
M: 5000
Activities NO: 12
n: 9
Primary Depot Index: 7
DepotsNO: 3
T: 14
WHours: 8
Max_Whours: 12
Co: 10
Cv: 200
Pu: 50

[COST_MATRIX]
1 2 3 4 5 6 7 8 9
0 20 25 5 10 5 10 10 5
20 0 5 20 20 25 30 15 10
25 5 0 25 25 25 10 20 5
5 20 25 0 10 5 10 5 20
10 20 25 10 0 10 10 10 25
5 25 25 5 10 0 5 10 20
10 30 10 10 10 5 0 15 25
10 15 20 5 10 10 15 0 20
5 10 5 20 25 20 25 20 0

[TIME_MATRIX]
1 2 3 4 5 6 7 8 9
0 4 5 1 2 1 2 2 1
4 0 1 4 4 5 6 3 2
5 1 0 5 5 5 2 4 1
1 4 5 0 2 1 2 1 4
2 4 5 2 0 2 2 2 5
1 5 5 1 2 0 1 2 4
2 6 2 2 2 1 0 3 5
2 3 4 1 2 2 3 0 4
1 2 1 4 5 4 5 4 0

[ACTIVITIES]
Activity	Asset	Maintenance Time (hr)	Release Date	Due Date (Days)	Penalty - Late	Penalty - Early	Broken	TE
1	1	5	0	14	10	0	0	1
2	1	4	0	12	10	0	0	1
3	2	2	2	11	5	10	0	1
4	2	3	0	13	5	8	0	1
5	2	2	0	7	8	15	0	1
6	3	3	0	7	20	10	0	1
7	3	6	0	5	30	5	0	1
8	5	2	2	6	20	5	0	1
9	5	2	2	3	10	0	0	1
10	6	6	0	2	10	0	0	1
11	5	3	0	1	5	5	0	1
12	4	3	0	10	5	5	0	1
13	7	0	0	0	0	0	0	0
14	8	0	0	0	0	0	0	0
15	9	0	0	0	0	0	0	0
