[GENERAL_DATA]
v: 3
M: 5000
Activities NO: 15
n: 9
Primary Depot Index: 7
DepotsNO: 3
T: 7
WHours: 8
Max_Whours: 12
Co: 10
Cv: 200
Pu: 50

[COST_MATRIX]
1 2 3 4 5 6 7 8 9
0 16 16 20 4 8 4 12 8
16 0 8 8 4 12 12 4 8
16 8 0 8 12 4 12 12 4
20 8 8 0 8 16 4 12 16
4 4 12 8 0 8 8 12 4
8 12 4 16 8 0 24 4 8
4 12 12 4 8 24 0 16 20
12 4 12 12 12 4 16 0 8
8 8 4 16 4 8 20 8 0

[TIME_MATRIX]
1 2 3 4 5 6 7 8 9
0 4 4 5 1 2 1 3 2
4 0 2 2 1 3 3 1 2
4 2 0 2 3 1 3 3 1
5 2 2 0 2 4 1 3 4
1 1 3 2 0 2 2 3 1
2 3 1 4 2 0 6 1 2
1 3 3 1 2 6 0 4 5
3 1 3 3 3 1 4 0 2
2 2 1 4 1 2 5 2 0

[ACTIVITIES]
Activity	Asset	Maintenance Time (hr)	Release Date	Due Date (Days)	Penalty - Late	Penalty - Early	Broken	TE
1	3	1	0	4	10	0	1	0
2	3	2	0	5	30	0	1	1
3	4	2	0	5	40	0	0	1
4	5	2	0	7	5	0	0	1
5	6	1	0	7	5	0	2	0
6	6	1	2	7	5	0	2	1
7	1	3	0	5	30	0	3	0
8	1	1	0	7	10	0	3	1
9	1	1	0	7	10	0	0	1
10	2	3	0	7	5	0	4	0
11	2	3	0	6	5	0	4	1
12	3	4	4	7	5	0	0	1
13	4	4	0	7	5	0	0	1
14	5	5	0	6	10	0	5	0
15	5	1	0	6	10	0	5	1
16	7	0	0	0	0	0	0	0
17	8	0	0	0	0	0	0	0
18	9	0	0	0	0	0	0	0
