[GENERAL_DATA]
v: 3
M: 5000
Activities NO: 15
n: 9
Primary Depot Index: 7
DepotsNO: 3
T: 14
WHours: 8
Max_Whours: 12
Co: 10
Cv: 200
Pu: 50

[COST_MATRIX]
1 2 3 4 5 6 7 8 9
0 25 15 10 5 25 10 15 5
25 0 20 5 10 5 20 15 5
15 20 0 5 15 20 10 5 20
10 5 5 0 30 25 20 20 5
5 10 15 25 0 10 10 20 5
25 5 20 25 10 0 20 15 5
10 20 10 20 10 20 0 5 20
15 15 5 20 20 15 5 0 15
5 5 20 5 5 5 20 15 0

[TIME_MATRIX]
1 2 3 4 5 6 7 8 9
0 5 3 2 1 5 2 3 1
5 0 4 1 2 1 4 3 1
3 4 0 1 3 4 2 1 4
2 1 1 0 6 5 4 4 1
1 2 3 5 0 2 2 4 1
5 1 4 5 2 0 4 3 1
2 4 2 4 2 4 0 1 4
3 3 1 4 4 3 1 0 3
1 1 4 1 1 1 4 3 0

[ACTIVITIES]
Activity	Asset	Maintenance Time (hr)	Release Date	Due Date (Days)	Penalty - Late	Penalty - Early	Broken	TE
1	2	2	2	7	10	5	0	1
2	3	5	0	12	10	5	0	1
3	4	3	0	12	2	1	1	0
4	4	2	0	10	5	5	1	1
5	5	4	0	12	5	10	2	0
6	5	4	0	9	10	5	2	1
7	2	2	0	2	40	5	3	0
8	2	3	0	12	20	5	3	1
9	6	3	0	9	5	5	4	0
10	6	2	0	6	5	5	4	1
11	1	6	0	2	10	0	5	0
12	1	1	2	11	20	2	5	1
13	1	6	0	7	5	3	0	1
14	4	2	0	2	10	5	6	0
15	4	2	0	2	10	5	6	1
16	7	0	0	0	0	0	0	0
17	8	0	0	0	0	0	0	0
18	9	0	0	0	0	0	0	0
