[GENERAL_DATA]
v: 2
M: 5000
Activities NO: 12
n: 9
Primary Depot Index: 7
DepotsNO: 3
T: 14
WHours: 8
Max_Whours: 12
Co: 10
Cv: 200
Pu: 50

[COST_MATRIX]
1 2 3 4 5 6 7 8 9
0 20 25 5 10 5 10 10 5
20 0 5 20 20 25 30 15 10
25 5 0 25 25 25 10 20 5
5 20 25 0 10 5 10 5 20
10 20 25 10 0 10 10 10 25
5 25 25 5 10 0 5 10 20
10 30 10 10 10 5 0 15 25
10 15 20 5 10 10 15 0 20
5 10 5 20 25 20 25 20 0

[TIME_MATRIX]
1 2 3 4 5 6 7 8 9
0 2 2 3 2 3 1 2 2
2 0 1 3 4 3 3 1 3
2 1 0 2 1 2 3 1 3
3 3 2 0 1 2 3 4 1
2 4 1 1 0 6 2 2 2
3 3 2 2 6 0 4 2 4
1 3 3 3 2 4 0 2 1
2 1 1 4 2 2 2 0 2
2 3 3 1 2 4 1 2 0

[ACTIVITIES]
Activity	Asset	Maintenance Time (hr)	Release Date	Due Date (Days)	Penalty - Late	Penalty - Early	Broken	TE
1	2	2	0	12	15	0	1	0
2	2	4	0	13	20	0	1	1
3	3	4	0	14	10	10	0	1
4	4	2	0	10	5	6	2	0
5	4	3	0	10	8	15	2	1
6	5	4	0	7	8	10	3	0
7	5	2	0	8	10	5	3	1
8	6	2	0	9	11	5	4	0
9	6	5	0	5	14	5	4	1
10	1	8	0	3	10	0	0	1
11	1	1	0	2	5	5	0	1
12	3	3	0	6	5	5	0	1
13	7	0	0	0	0	0	0	0
14	8	0	0	0	0	0	0	0
15	9	0	0	0	0	0	0	0
