[GENERAL_DATA]
v: 2
M: 5000
Activities NO: 12
n: 9
Primary Depot Index: 7
DepotsNO: 3
T: 7
WHours: 8
Max_Whours: 12
Co: 10
Cv: 200
Pu: 50

[COST_MATRIX]
1 2 3 4 5 6 7 8 9
0 6 12 6 15 6 18 3 6
6 0 6 6 9 3 9 3 6
12 6 0 3 9 12 3 9 9
6 6 3 0 6 12 6 9 3
15 9 9 6 0 12 6 9 12
6 3 12 12 12 0 18 6 3
18 9 3 6 6 18 0 12 15
3 3 9 9 9 6 12 0 6
6 6 9 3 12 3 15 6 0

[TIME_MATRIX]
1 2 3 4 5 6 7 8 9
0 2 4 2 5 2 6 1 2
2 0 2 2 3 1 3 1 2
4 2 0 1 3 4 1 3 3
2 2 1 0 2 4 2 3 1
5 3 3 2 0 4 2 3 4
2 1 4 4 4 0 6 2 1
6 3 1 2 2 6 0 4 5
1 1 3 3 3 2 4 0 2
2 2 3 1 4 1 5 2 0

[ACTIVITIES]
Activity	Asset	Maintenance Time (hr)	Release Date	Due Date (Days)	Penalty - Late	Penalty - Early	Broken	TE
1	1	3	0	7	10	5	1	0
2	1	2	0	2	20	5	1	0
3	1	1	0	3	30	10	1	1
4	2	1	0	5	20	8	2	0
5	2	1	0	5	8	15	2	1
6	3	1	2	5	10	10	3	0
7	3	2	3	6	20	7	3	1
8	4	1	0	6	30	10	4	0
9	4	1	0	7	10	10	4	1
10	5	2	0	7	10	12	0	1
11	6	2	0	4	10	20	0	1
12	6	3	0	4	30	20	0	1
13	7	0	0	0	0	0	0	0
14	8	0	0	0	0	0	0	0
15	9	0	0	0	0	0	0	0
