[GENERAL_DATA]
v: 2
M: 5000
Activities NO: 12
n: 9
Primary Depot Index: 7
DepotsNO: 3
T: 14
WHours: 8
Max_Whours: 12
Co: 10
Cv: 200
Pu: 50

[COST_MATRIX]
1 2 3 4 5 6 7 8 9
0 12 6 6 8 2 6 8 2
12 0 6 2 6 4 10 6 2
6 6 0 2 4 6 4 4 6
6 2 2 0 6 4 6 4 6
8 6 4 6 0 2 6 2 6
2 4 6 4 2 0 8 4 6
6 10 4 6 6 8 0 4 10
8 6 4 4 2 4 4 0 8
2 2 6 6 6 6 10 8 0

[TIME_MATRIX]
1 2 3 4 5 6 7 8 9
0 6 3 3 4 1 3 4 1
6 0 3 1 3 2 5 3 1
3 3 0 1 2 3 2 2 3
3 1 1 0 3 2 3 2 3
4 3 2 3 0 1 3 1 3
1 2 3 2 1 0 4 2 3
3 5 2 3 3 4 0 2 5
4 3 2 2 1 2 2 0 4
1 1 3 3 3 3 5 4 0

[ACTIVITIES]
Activity	Asset	Maintenance Time (hr)	Release Date	Due Date (Days)	Penalty - Late	Penalty - Early	Broken	TE
1	4	3	0	13	15	0	0	1
2	4	5	0	11	10	0	0	1
3	5	6	3	10	5	0	0	1
4	5	2	0	9	3	10	0	1
5	6	8	0	8	3	12	0	1
6	6	3	0	7	25	14	0	1
7	4	1	0	1	11	16	0	1
8	3	2	0	6	20	5	0	1
9	3	4	2	7	30	0	0	1
10	2	3	0	14	10	0	0	1
11	2	2	0	14	5	5	0	1
12	1	4	0	8	5	5	0	1
13	7	0	0	0	0	0	0	0
14	8	0	0	0	0	0	0	0
15	9	0	0	0	0	0	0	0
