[GENERAL_DATA]
v: 3
M: 5000
Activities NO: 15
n: 9
Primary Depot Index: 7
DepotsNO: 3
T: 14
WHours: 8
Max_Whours: 12
Co: 10
Cv: 200
Pu: 50

[COST_MATRIX]
1 2 3 4 5 6 7 8 9
0 5 10 15 10 25 10 20 5
5 0 15 15 10 5 5 10 25
10 15 0 5 10 20 5 15 15
15 15 5 0 10 15 15 15 10
10 10 10 10 0 25 15 5 20
25 5 20 15 25 0 30 5 10
10 5 5 15 15 30 0 25 25
20 10 15 15 5 5 25 0 5
5 25 15 10 20 10 25 5 0

[TIME_MATRIX]
1 2 3 4 5 6 7 8 9
0 1 2 3 2 5 2 4 1
1 0 3 3 2 1 1 2 5
2 3 0 1 2 4 1 3 3
3 3 1 0 2 3 3 3 2
2 2 2 2 0 5 3 1 4
5 1 4 3 5 0 6 1 2
2 1 1 3 3 6 0 5 5
4 2 3 3 1 1 5 0 1
1 5 3 2 4 2 5 1 0

[ACTIVITIES]
Activity	Asset	Maintenance Time (hr)	Release Date	Due Date (Days)	Penalty - Late	Penalty - Early	Broken	TE
1	2	3	0	6	10	5	0	1
2	2	3	0	12	10	5	0	1
3	3	5	0	10	10	5	0	1
4	4	7	0	3	10	5	0	1
5	4	2	2	9	10	5	0	1
6	4	2	0	4	10	5	0	1
7	5	2	0	12	10	5	0	1
8	5	2	0	9	10	5	0	1
9	5	3	0	10	10	5	0	1
10	5	3	0	13	20	10	0	1
11	6	3	0	9	20	10	0	1
12	6	4	3	13	20	10	0	1
13	1	2	0	8	20	10	0	1
14	1	2	0	10	20	10	0	1
15	2	1	0	3	20	10	0	1
16	7	0	0	0	0	0	0	0
17	8	0	0	0	0	0	0	0
18	9	0	0	0	0	0	0	0
