[GENERAL_DATA]
v: 3
M: 5000
Activities NO: 15
n: 9
Primary Depot Index: 7
DepotsNO: 3
T: 14
WHours: 8
Max_Whours: 12
Co: 10
Cv: 200
Pu: 50

[COST_MATRIX]
1 2 3 4 5 6 7 8 9
0 16 20 4 8 4 4 8 8
16 0 4 8 16 20 24 4 12
20 4 0 8 20 20 24 16 4
4 8 8 0 8 4 8 4 8
8 16 20 8 0 8 8 8 12
4 20 20 4 8 0 4 8 12
4 24 24 8 8 4 0 12 12
8 4 16 4 8 8 12 0 4
8 12 4 8 12 12 12 4 0

[TIME_MATRIX]
1 2 3 4 5 6 7 8 9
0 4 5 1 2 1 1 2 2
4 0 1 2 4 5 6 1 3
5 1 0 2 5 5 6 4 1
1 2 2 0 2 1 2 1 2
2 4 5 2 0 2 2 2 3
1 5 5 1 2 0 1 2 3
1 6 6 2 2 1 0 3 3
2 1 4 1 2 2 3 0 1
2 3 1 2 3 3 3 1 0

[ACTIVITIES]
Activity	Asset	Maintenance Time (hr)	Release Date	Due Date (Days)	Penalty - Late	Penalty - Early	Broken	TE
1	1	3	0	7	10	5	0	1
2	2	2	0	14	10	5	0	1
3	2	5	0	14	2	1	0	1
4	3	7	3	9	5	5	0	1
5	3	2	0	4	5	10	0	1
6	1	6	0	4	10	5	0	1
7	1	3	0	14	40	5	0	1
8	6	4	1	12	20	5	0	1
9	4	3	0	5	5	5	0	1
10	4	4	0	5	5	5	0	1
11	3	6	0	2	10	0	0	1
12	5	2	0	12	20	2	0	1
13	5	3	0	12	5	3	0	1
14	6	2	2	8	10	5	0	1
15	6	1	0	13	10	5	0	1
16	7	0	0	0	0	0	0	0
17	8	0	0	0	0	0	0	0
18	9	0	0	0	0	0	0	0
