[GENERAL_DATA]
v: 3
M: 5000
Activities NO: 15
n: 9
Primary Depot Index: 7
DepotsNO: 3
T: 7
WHours: 8
Max_Whours: 12
Co: 10
Cv: 200
Pu: 50

[COST_MATRIX]
1 2 3 4 5 6 7 8 9
0 6 9 9 3 9 3 12 12
6 0 3 12 9 3 9 6 3
9 3 0 9 9 3 9 12 3
9 12 9 0 9 18 12 3 6
3 9 9 9 0 9 3 6 12
9 3 12 18 9 0 3 6 6
3 9 9 12 3 3 0 12 9
12 6 12 3 6 6 12 0 6
12 3 3 6 12 6 9 6 0

[TIME_MATRIX]
1 2 3 4 5 6 7 8 9
0 2 3 3 1 3 1 4 4
2 0 1 4 3 1 3 2 1
3 1 0 3 3 1 3 4 1
3 4 3 0 3 6 4 1 2
1 3 3 3 0 3 1 2 4
3 1 4 6 3 0 1 2 2
1 3 3 4 1 1 0 4 3
4 2 4 1 2 2 4 0 2
4 1 1 2 4 2 3 2 0

[ACTIVITIES]
Activity	Asset	Maintenance Time (hr)	Release Date	Due Date (Days)	Penalty - Late	Penalty - Early	Broken	TE
1	3	1	0	4	10	0	0	1
2	3	2	0	5	30	0	0	1
3	4	2	0	5	40	0	0	1
4	5	2	0	7	5	0	0	1
5	6	1	0	7	5	0	0	1
6	6	1	2	7	5	0	0	1
7	1	3	0	5	30	0	0	1
8	1	1	0	7	10	0	0	1
9	1	1	0	7	10	0	0	1
10	2	3	0	7	5	0	0	1
11	2	3	0	6	5	0	0	1
12	3	4	4	7	5	0	0	1
13	4	4	0	7	5	0	0	1
14	5	5	0	6	10	0	0	1
15	5	1	0	6	10	0	0	1
16	7	0	0	0	0	0	0	0
17	8	0	0	0	0	0	0	0
18	9	0	0	0	0	0	0	0
