[GENERAL_DATA]
v: 3
M: 5000
Activities NO: 15
n: 9
Primary Depot Index: 7
DepotsNO: 3
T: 14
WHours: 8
Max_Whours: 12
Co: 10
Cv: 200
Pu: 50

[COST_MATRIX]
1 2 3 4 5 6 7 8 9
0 18 15 6 6 6 12 3 15
18 0 3 6 15 6 9 3 6
15 3 0 3 15 18 6 6 3
6 6 3 0 12 3 3 6 3
6 15 15 12 0 3 3 12 15
6 6 18 3 3 0 15 3 15
12 9 6 3 3 15 0 6 3
3 3 6 6 12 3 6 0 6
15 6 3 3 15 15 3 6 0

[TIME_MATRIX]
1 2 3 4 5 6 7 8 9
0 6 5 2 2 2 4 1 5
6 0 1 2 5 2 3 1 2
5 1 0 1 5 6 2 2 1
2 2 1 0 4 1 1 2 1
2 5 5 4 0 1 1 4 5
2 2 6 1 1 0 5 1 5
4 3 2 1 1 5 0 2 1
1 1 2 2 4 1 2 0 2
5 2 1 1 5 5 1 2 0

[ACTIVITIES]
Activity	Asset	Maintenance Time (hr)	Release Date	Due Date (Days)	Penalty - Late	Penalty - Early	Broken	TE
1	2	2	2	7	10	5	0	1
2	3	5	0	12	10	5	0	1
3	4	3	0	12	2	1	0	1
4	4	2	0	10	5	5	0	1
5	5	4	0	12	5	10	0	1
6	5	4	0	9	10	5	0	1
7	2	2	0	2	40	5	0	1
8	2	3	0	12	20	5	0	1
9	6	3	0	9	5	5	0	1
10	6	2	0	6	5	5	0	1
11	1	6	0	2	10	0	0	1
12	1	1	2	11	20	2	0	1
13	1	6	0	7	5	3	0	1
14	4	2	0	2	10	5	0	1
15	4	2	0	2	10	5	0	1
16	7	0	0	0	0	0	0	0
17	8	0	0	0	0	0	0	0
18	9	0	0	0	0	0	0	0
